Postal Code;Borough;Neighborhood;Latitude;Longitude;Cluster Labels;1st Most Common Venue;2nd Most Common Venue;3rd Most Common Venue;4th Most Common Venue;5th Most Common Venue;6th Most Common Venue;7th Most Common Venue;8th Most Common Venue;9th Most Common Venue;10th Most Common Venue
M3K;North York;Downsview;43.737473200000004;-79.46476329999999;3.0;Coffee Shop;Vietnamese Restaurant;Grocery Store;Discount Store;Gas Station;Pizza Place;Fast Food Restaurant;Park;Pharmacy;Sandwich Place
M3L;North York;Downsview;43.7390146;-79.5069436;3.0;Coffee Shop;Vietnamese Restaurant;Grocery Store;Discount Store;Gas Station;Pizza Place;Fast Food Restaurant;Park;Pharmacy;Sandwich Place
M3M;North York;Downsview;43.7284964;-79.49569740000001;3.0;Coffee Shop;Vietnamese Restaurant;Grocery Store;Discount Store;Gas Station;Pizza Place;Fast Food Restaurant;Park;Pharmacy;Sandwich Place
M3N;North York;Downsview;43.7616313;-79.52099940000001;3.0;Coffee Shop;Vietnamese Restaurant;Grocery Store;Discount Store;Gas Station;Pizza Place;Fast Food Restaurant;Park;Pharmacy;Sandwich Place
M4A;North York;Victoria Village;43.725882299999995;-79.31557159999998;6.0;Park;Intersection;Hockey Arena;Portuguese Restaurant;Coffee Shop;Sporting Goods Shop;Playground;French Restaurant;Distribution Center;Dive Bar
M4B;East York;Parkview Hill, Woodbine Gardens;43.7063972;-79.309937;3.0;Pizza Place;Home Service;Flea Market;Bank;Gastropub;Athletics & Sports;Intersection;Rock Climbing Spot;Pharmacy;Restaurant
M4C;East York;Woodbine Heights;43.695343900000005;-79.3183887;6.0;Skating Rink;Curling Ice;Bus Line;Beer Store;Park;Video Store;Restaurant;Bus Stop;Intersection;Yoga Studio
M4E;East Toronto;The Beaches;43.67635739999999;-79.2930312;0.0;Pub;Japanese Restaurant;Sandwich Place;Bar;Bakery;Café;Breakfast Spot;French Restaurant;Juice Bar;Bank
M4G;East York;Leaside;43.7090604;-79.3634517;0.0;Coffee Shop;Sporting Goods Shop;Electronics Store;Department Store;Burger Joint;Sports Bar;Sushi Restaurant;Sandwich Place;Bank;Restaurant
M4H;East York;Thorncliffe Park;43.7053689;-79.34937190000001;0.0;Indian Restaurant;Afghan Restaurant;Sandwich Place;Coffee Shop;Turkish Restaurant;Yoga Studio;Bridge;Bank;Fried Chicken Joint;Supermarket
M4J;East York East Toronto;The Danforth East;43.685347;-79.3381065;0.0;Pizza Place;Café;Coffee Shop;Greek Restaurant;Beer Bar;Gastropub;Fast Food Restaurant;Burger Joint;Burrito Place;Beer Store
M4K;East Toronto;The Danforth West, Riverdale;43.6795571;-79.352188;0.0;Greek Restaurant;Coffee Shop;Pub;Café;Fast Food Restaurant;Furniture / Home Store;Italian Restaurant;Yoga Studio;Bakery;Spa
M4L;East Toronto;India Bazaar, The Beaches West;43.6689985;-79.31557159999998;0.0;Indian Restaurant;Sandwich Place;Grocery Store;Pizza Place;Fast Food Restaurant;Gym;Restaurant;Brewery;Park;Coffee Shop
M4M;East Toronto;Studio District;43.6595255;-79.340923;0.0;Coffee Shop;Bar;Bakery;Diner;Café;Park;Sushi Restaurant;American Restaurant;Sandwich Place;Vietnamese Restaurant
M4N;Central Toronto;Lawrence Park;43.7280205;-79.3887901;6.0;Park;Coffee Shop;Bus Line;Swim School;Electronics Store;Business Service;Yoga Studio;Dry Cleaner;Dive Bar;Dog Run
M4P;Central Toronto;Davisville North;43.7127511;-79.3901975;0.0;Pizza Place;Coffee Shop;Gym;Park;Café;Food & Drink Shop;Pharmacy;Dog Run;Italian Restaurant;Supermarket
M4R;Central Toronto;North Toronto West;43.7153834;-79.40567840000001;0.0;Coffee Shop;Clothing Store;Sporting Goods Shop;Italian Restaurant;Café;Diner;Bakery;Skating Rink;Restaurant;Flower Shop
